Game Name,Platform,is_play,is_playing,is_backlog,is_wishlist,status,score
Great Bishi Bashi Champ,Arcade,false,false,true,false,completed,
Metal Slug X,Arcade,true,false,false,false,completed,9
Quest for Glory So You Want to Be a Hero,DOS,false,false,true,false,completed,
Ikaruga,Dreamcast,false,false,true,false,completed,
Pokemon Yellow,Game Boy,true,false,false,false,completed,9
Metroid Zero Mission,Game Boy Advance,true,false,false,false,completed,9
Pokemon Crystal,Game Boy Color,true,false,false,false,completed,9
Another Code,Nintendo DS,true,false,false,false,completed,7
Ace Attorney Trials and Tribulations,Nintendo DS,true,false,false,false,completed,8
Mother,Nintendo Entertainment System,false,false,true,false,completed,
Panic Restaurant,Nintendo Entertainment System,false,false,true,false,completed,
Super Contra,Nintendo Entertainment System,false,false,true,false,completed,
Addams Family,Nintendo Entertainment System,true,false,false,false,completed,6
Final Fantasy VI,Game Boy Advance,false,false,true,false,completed,
Pokemon Emerald,Game Boy Advance,false,false,true,false,completed,
Resident Evil Code Veronica X,Nintendo GameCube,true,false,false,false,completed,8
Skies of Arcadia,Nintendo GameCube,false,false,true,false,completed,
Soul Calibur 2,Nintendo GameCube,true,false,false,false,completed,9
Final Fantasy XII,Nintendo Switch,true,false,false,false,completed,9
Baldur's Gate II Enhanced Edition,PC (Microsoft Windows),true,false,false,false,completed,9
BlazBlue Continuum Shift Extend,PC (Microsoft Windows),true,false,false,false,completed,8
Broken Age Act 2,PC (Microsoft Windows),true,false,false,false,completed,7
Dark Souls II Scholar of the First Sin,PC (Microsoft Windows),true,false,false,false,completed,9
Guilty Gear X2,PC (Microsoft Windows),true,false,false,false,completed,8
Half-Life 2 Episode One,PC (Microsoft Windows),true,false,false,false,completed,9
Half-Life 2 Episode Two,PC (Microsoft Windows),true,false,false,false,completed,9
Half-Life Blue Shift,PC (Microsoft Windows),true,false,false,false,completed,8
Half-Life Opposing Force,PC (Microsoft Windows),true,false,false,false,completed,8
Metal Gear Solid Ground Zeroes,PC (Microsoft Windows),true,false,false,false,completed,8
Resident Evil Zero,PC (Microsoft Windows),true,false,false,false,completed,8
Stanley Parable,PC (Microsoft Windows),true,false,false,false,completed,8
Ultimate Marvel vs Capcom 3,PC (Microsoft Windows),true,false,false,false,completed,9
Ultra Street Fighter IV,PC (Microsoft Windows),true,false,false,false,completed,9
Last Recode,PC (Microsoft Windows),false,false,true,false,completed,
Broken Sword Shadow of the Templars,PC (Microsoft Windows),false,false,true,false,completed,
Deponia Complete Journey,PC (Microsoft Windows),false,false,true,false,completed,
Dishonored Death of the Outsider,PC (Microsoft Windows),false,false,true,false,completed,
F.E.A.R. First Encounter,PC (Microsoft Windows),false,false,true,false,completed,
Okami HD,PC (Microsoft Windows),false,false,true,false,completed,
Basement Collection,PC (Microsoft Windows),false,false,true,false,completed,
Binding of Isaac Rebirth,PC (Microsoft Windows),false,false,true,false,completed,
Wonderful 101,PC (Microsoft Windows),false,false,true,false,completed,
Half-Life Alyx,PC (Microsoft Windows),false,false,true,false,completed,
Bishi Bashi Special 3,PlayStation,true,false,false,false,completed,8
Chrono Trigger,PlayStation,true,false,false,false,completed,9
Tales of Destiny 2,PlayStation,true,false,false,false,completed,8
Bust-A-Move 2,PlayStation,false,false,true,false,completed,
Clock Tower The First Fear,PlayStation,false,false,true,false,completed,
Hack Infection,PlayStation 2,true,false,false,false,completed,7
Hack Mutation,PlayStation 2,true,false,false,false,completed,6
Hack Outbreak,PlayStation 2,true,false,false,false,completed,7
Hack Quarantine,PlayStation 2,true,false,false,false,completed,7
Kingdom Hearts ReChain of Memories,PlayStation 4,true,false,false,false,completed,6
Kingdom Hearts Dream Drop Distance,PlayStation 4,true,false,false,false,completed,7
Demon's Souls,PlayStation 5,true,false,false,false,completed,9
Tales of Phantasia,PlayStation Portable,true,false,false,false,completed,7
Final Fantasy Tactics,PlayStation Portable,false,false,true,false,completed,
Snatcher,Sega CD,false,false,true,false,completed,
Chiki Chiki Boys,Sega Mega Drive/Genesis,true,false,false,false,completed,7
Sonic & Knuckles,Sega Mega Drive/Genesis,true,false,false,false,completed,9
Sonic & Knuckles Sonic The Hedgehog,Sega Mega Drive/Genesis,true,false,false,false,completed,8
Sonic & Knuckles Sonic The Hedgehog 2,Sega Mega Drive/Genesis,true,false,false,false,completed,9
Sonic & Knuckles Sonic The Hedgehog 3,Sega Mega Drive/Genesis,true,false,false,false,completed,9
Streets of Rage 3,Sega Mega Drive/Genesis,true,false,false,false,completed,8
Mega Man X 2,Super Nintendo Entertainment System,true,false,false,false,completed,9
Mega Man X 3,Super Nintendo Entertainment System,true,false,false,false,completed,9
Dragon's Lair Trilogy,Wii,false,false,true,false,completed,
